"Date","1M"
"30.12.2022","4.39157"
"29.12.2022","4.36871"
"28.12.2022","4.38357"
"23.12.2022","4.38686"
"22.12.2022","4.38871"
"21.12.2022","4.38557"
"20.12.2022","4.36129"
"19.12.2022","4.35386"
"16.12.2022","4.35286"
"15.12.2022","4.33914"
"14.12.2022","4.32629"
"13.12.2022","4.31786"
"12.12.2022","4.29214"
"09.12.2022","4.27029"
"08.12.2022","4.27429"
"07.12.2022","4.23614"
"06.12.2022","4.22143"
"05.12.2022","4.21729"
"02.12.2022","4.18486"
"01.12.2022","4.17229"
"30.11.2022","4.14200"
"29.11.2022","4.12014"
"28.11.2022","4.07143"
"25.11.2022","4.05471"
"24.11.2022","4.02914"
"23.11.2022","4.04357"
"22.11.2022","4.01614"
"21.11.2022","3.97900"
"18.11.2022","3.95671"
"17.11.2022","3.93857"
"16.11.2022","3.91071"
"15.11.2022","3.90357"
"14.11.2022","3.88657"
"11.11.2022","3.87529"
"10.11.2022","3.87314"
"09.11.2022","3.87857"
"08.11.2022","3.85871"
"07.11.2022","3.85514"
"04.11.2022","3.85814"
"03.11.2022","3.84657"
"02.11.2022","3.83571"
"01.11.2022","3.84157"
"31.10.2022","3.80486"
"28.10.2022","3.76771"
"27.10.2022","3.75386"
"26.10.2022","3.63229"
"25.10.2022","3.59643"
"24.10.2022","3.57643"
"21.10.2022","3.58557"
"20.10.2022","3.57243"
"19.10.2022","3.50071"
"18.10.2022","3.48914"
"17.10.2022","3.47986"
"14.10.2022","3.44300"
"13.10.2022","3.41214"
"12.10.2022","3.33871"
"11.10.2022","3.34557"
"10.10.2022","3.31671"
"07.10.2022","3.31357"
"06.10.2022","3.30029"
"05.10.2022","3.19814"
"04.10.2022","3.18571"
"03.10.2022","3.17443"
"30.09.2022","3.14271"
"29.09.2022","3.12786"
"28.09.2022","3.11529"
"27.09.2022","3.12057"
"26.09.2022","3.11314"
"23.09.2022","3.08029"
"22.09.2022","3.08400"
"21.09.2022","3.05900"
"20.09.2022","3.05186"
"16.09.2022","3.01386"
"15.09.2022","2.99343"
"14.09.2022","2.93914"
"13.09.2022","2.81771"
"12.09.2022","2.78343"
"09.09.2022","2.75643"
"08.09.2022","2.75643"
"07.09.2022","2.70457"
"06.09.2022","2.68486"
"05.09.2022","2.64286"
"02.09.2022","2.65571"
"01.09.2022","2.63329"
"31.08.2022","2.63329"
"30.08.2022","2.56400"
"26.08.2022","2.52386"
"25.08.2022","2.49343"
"24.08.2022","2.45486"
"23.08.2022","2.44371"
"22.08.2022","2.42743"
"19.08.2022","2.38671"
"18.08.2022","2.36814"
"17.08.2022","2.36557"
"16.08.2022","2.37700"
"15.08.2022","2.37971"
"12.08.2022","2.38686"
"11.08.2022","2.39100"
"10.08.2022","2.40043"
"09.08.2022","2.38014"
"08.08.2022","2.38857"
"05.08.2022","2.36943"
"04.08.2022","2.37271"
"03.08.2022","2.37629"
"02.08.2022","2.35729"
"01.08.2022","2.36686"
"29.07.2022","2.36229"
"28.07.2022","2.37314"
"27.07.2022","2.37229"
"26.07.2022","2.34600"
"25.07.2022","2.29971"
"22.07.2022","2.25229"
"21.07.2022","2.25900"
"20.07.2022","2.21357"
"19.07.2022","2.16157"
"18.07.2022","2.12643"
"15.07.2022","2.12029"
"14.07.2022","2.15600"
"13.07.2022","1.99914"
"12.07.2022","1.97143"
"11.07.2022","1.96443"
"08.07.2022","1.89971"
"07.07.2022","1.87214"
"06.07.2022","1.80686"
"05.07.2022","1.79100"
"04.07.2022","1.77729"
"01.07.2022","1.79757"
"30.06.2022","1.78671"
"29.06.2022","1.71314"
"28.06.2022","1.66614"
"27.06.2022","1.65229"
"24.06.2022","1.63271"
"23.06.2022","1.62357"
"22.06.2022","1.63271"
"21.06.2022","1.64157"
"20.06.2022","1.62629"
"17.06.2022","1.61229"
"16.06.2022","1.59514"
"15.06.2022","1.52343"
"14.06.2022","1.50929"
"13.06.2022","1.32400"
"10.06.2022","1.28214"
"09.06.2022","1.25471"
"08.06.2022","1.19971"
"07.06.2022","1.19029"
"06.06.2022","1.15971"
"01.06.2022","1.11971"
"31.05.2022","1.11986"
"30.05.2022","1.06157"
"27.05.2022","1.06171"
"26.05.2022","1.05957"
"25.05.2022","1.02300"
"24.05.2022","1.01657"
"23.05.2022","1.00571"
"20.05.2022","0.97357"
"19.05.2022","0.96071"
"18.05.2022","0.92729"
"17.05.2022","0.92843"
"16.05.2022","0.93557"
"13.05.2022","0.88671"
"12.05.2022","0.87471"
"11.05.2022","0.85414"
"10.05.2022","0.84314"
"09.05.2022","0.84443"
"06.05.2022","0.84214"
"05.05.2022","0.84486"
"04.05.2022","0.84514"
"03.05.2022","0.83171"
"29.04.2022","0.80329"
"28.04.2022","0.80000"
"27.04.2022","0.76371"
"26.04.2022","0.74871"
"25.04.2022","0.69800"
"22.04.2022","0.70343"
"21.04.2022","0.66786"
"20.04.2022","0.63157"
"19.04.2022","0.62471"
"14.04.2022","0.59443"
"13.04.2022","0.55414"
"12.04.2022","0.55129"
"11.04.2022","0.52457"
"08.04.2022","0.51400"
"07.04.2022","0.48814"
"06.04.2022","0.45143"
"05.04.2022","0.44600"
"04.04.2022","0.42857"
"01.04.2022","0.43757"
"31.03.2022","0.45200"
"30.03.2022","0.45514"
"29.03.2022","0.45743"
"28.03.2022","0.44943"
"25.03.2022","0.44514"
"24.03.2022","0.44714"
"23.03.2022","0.45657"
"22.03.2022","0.45486"
"21.03.2022","0.44400"
"18.03.2022","0.44657"
"17.03.2022","0.44857"
"16.03.2022","0.46757"
"15.03.2022","0.44143"
"14.03.2022","0.43057"
"11.03.2022","0.39657"
"10.03.2022","0.38700"
"09.03.2022","0.35171"
"08.03.2022","0.32114"
"07.03.2022","0.30629"
"04.03.2022","0.31014"
"03.03.2022","0.28914"
"02.03.2022","0.24243"
"01.03.2022","0.23457"
"28.02.2022","0.24143"
"25.02.2022","0.23057"
"24.02.2022","0.20857"
"23.02.2022","0.18686"
"22.02.2022","0.17586"
"21.02.2022","0.16200"
"18.02.2022","0.17071"
"17.02.2022","0.16171"
"16.02.2022","0.13671"
"15.02.2022","0.11971"
"14.02.2022","0.12571"
"11.02.2022","0.19114"
"10.02.2022","0.12371"
"09.02.2022","0.12271"
"08.02.2022","0.12571"
"07.02.2022","0.12471"
"04.02.2022","0.11529"
"03.02.2022","0.11129"
"02.02.2022","0.10814"
"01.02.2022","0.11300"
"31.01.2022","0.10686"
"28.01.2022","0.10629"
"27.01.2022","0.10500"
"26.01.2022","0.10914"
"25.01.2022","0.10786"
"24.01.2022","0.10843"
"21.01.2022","0.10771"
"20.01.2022","0.10929"
"19.01.2022","0.10914"
"18.01.2022","0.10371"
"17.01.2022","0.10300"
"14.01.2022","0.10329"
"13.01.2022","0.10629"
"12.01.2022","0.11014"
"11.01.2022","0.11300"
"10.01.2022","0.10400"
"07.01.2022","0.10529"
"06.01.2022","0.10414"
"05.01.2022","0.10200"
